code,pref,city,pop,did,did_prop
1438,北海道,沼田町,2909,0,0
1452,北海道,鷹栖町,6567,0,0
1453,北海道,東神楽町,10127,0,0
1454,北海道,当麻町,6319,0,0
1455,北海道,比布町,3520,0,0
1456,北海道,愛別町,2605,0,0
1457,北海道,上川町,3500,0,0
1458,北海道,東川町,8314,0,0
1459,北海道,美瑛町,9668,0,0
1460,北海道,上富良野町,10348,5542,53.5562427522227
1461,北海道,中富良野町,4733,0,0
1462,北海道,南富良野町,2376,0,0
1463,北海道,占冠村,1306,0,0
1464,北海道,和寒町,3192,0,0
1465,北海道,剣淵町,2926,0,0
1468,北海道,下川町,3126,0,0
1469,北海道,美深町,4145,0,0
1470,北海道,音威子府村,706,0,0
1471,北海道,中川町,1528,0,0
1472,北海道,幌加内町,1370,0,0
1481,北海道,増毛町,3908,0,0
1482,北海道,小平町,2994,0,0
1483,北海道,苫前町,2936,0,0
1484,北海道,羽幌町,6548,0,0
1485,北海道,初山別村,1080,0,0
1486,北海道,遠別町,2520,0,0
1487,北海道,天塩町,2950,0,0
1511,北海道,猿払村,2611,0,0
1512,北海道,浜頓別町,3448,0,0
1513,北海道,中頓別町,1637,0,0
1514,北海道,枝幸町,7565,0,0
1516,北海道,豊富町,3974,0,0
1517,北海道,礼文町,2509,0,0
1518,北海道,利尻町,2004,0,0
1519,北海道,利尻富士町,2458,0,0
1520,北海道,幌延町,2371,0,0
1543,北海道,美幌町,18697,12493,66.8182061293256
1544,北海道,津別町,4373,0,0
1545,北海道,斜里町,11418,0,0
1546,北海道,清里町,3883,0,0
1547,北海道,小清水町,4623,0,0
1549,北海道,訓子府町,4677,0,0
1550,北海道,置戸町,2775,0,0
1552,北海道,佐呂間町,4875,0,0
1555,北海道,遠軽町,19241,7880,40.954212359025
1559,北海道,湧別町,8270,0,0
1560,北海道,滝上町,2421,0,0
1561,北海道,興部町,3628,0,0
1562,北海道,西興部村,1053,0,0
1563,北海道,雄武町,4199,0,0
1564,北海道,大空町,6775,0,0
1571,北海道,豊浦町,3821,0,0
1575,北海道,壮瞥町,2743,0,0
1578,北海道,白老町,16212,0,0
1581,北海道,厚真町,4432,0,0
1584,北海道,洞爺湖町,8442,0,0
1585,北海道,安平町,7340,0,0
1586,北海道,むかわ町,7651,0,0
1601,北海道,日高町,11279,0,0
1602,北海道,平取町,4776,0,0
1604,北海道,新冠町,5309,0,0
1607,北海道,浦河町,12074,0,0
1608,北海道,様似町,4043,0,0
1609,北海道,えりも町,4374,0,0
1610,北海道,新ひだか町,21517,11042,51.3175628572757
1631,北海道,音更町,43576,35028,80.3836974481366
1632,北海道,士幌町,5848,0,0
1633,北海道,上士幌町,4778,0,0
1634,北海道,鹿追町,5266,0,0
1635,北海道,新得町,5817,0,0
1636,北海道,清水町,9094,0,0
1637,北海道,芽室町,18048,11919,66.0405585106383
1638,北海道,中札内村,3884,0,0
1639,北海道,更別村,3080,0,0
1641,北海道,大樹町,5420,0,0
1642,北海道,広尾町,6387,0,0
1643,北海道,幕別町,25766,15909,61.7441589691842
1644,北海道,池田町,6294,0,0
1645,北海道,豊頃町,3022,0,0
1646,北海道,本別町,6618,0,0
1647,北海道,足寄町,6563,0,0
1648,北海道,陸別町,2264,0,0
1649,北海道,浦幌町,4387,0,0
1661,北海道,釧路町,19105,10191,53.3420570531275
1662,北海道,厚岸町,8892,0,0
1663,北海道,浜中町,5507,0,0
1664,北海道,標茶町,7230,0,0
1665,北海道,弟子屈町,6955,0,0
1667,北海道,鶴居村,2558,0,0
1668,北海道,白糠町,7289,0,0
1691,北海道,別海町,14380,0,0
1692,北海道,中標津町,23010,9295,40.3954802259887
1693,北海道,標津町,5023,0,0
1694,北海道,羅臼町,4722,0,0
2000,青森県,青森県,1237984,587023,47.4176564479024
2201,青森県,青森市,275192,219275,79.6807319980232
2202,青森県,弘前市,168466,115326,68.4565431600442
2203,青森県,八戸市,223415,157255,70.3869480563078
2204,青森県,黒石市,31946,15037,47.0700557190259
2205,青森県,五所川原市,51415,14552,28.3030244092191
2206,青森県,十和田市,60378,26838,44.4499652191196
2207,青森県,三沢市,39152,21981,56.1427257866776
2208,青森県,むつ市,54103,16759,30.9761011404174
2209,青森県,つがる市,30934,0,0
2210,青森県,平川市,30567,0,0
2301,青森県,平内町,10126,0,0
2303,青森県,今別町,2334,0,0
2304,青森県,蓬田村,2540,0,0
2307,青森県,外ヶ浜町,5401,0,0
2321,青森県,鰺ヶ沢町,9044,0,0
2323,青森県,深浦町,7346,0,0
2343,青森県,西目屋村,1265,0,0
2361,青森県,藤崎町,14573,0,0
2362,青森県,大鰐町,8665,0,0
2367,青森県,田舎館村,7326,0,0
2381,青森県,板柳町,12700,0,0
2384,青森県,鶴田町,12074,0,0
2387,青森県,中泊町,9657,0,0
2401,青森県,野辺地町,12374,0,0
2402,青森県,七戸町,14556,0,0
2405,青森県,六戸町,10447,0,0
2406,青森県,横浜町,4229,0,0
2408,青森県,東北町,16428,0,0
2411,青森県,六ヶ所村,10367,0,0
2412,青森県,おいらせ町,24273,0,0
2423,青森県,大間町,4718,0,0
2424,青森県,東通村,5955,0,0
2425,青森県,風間浦村,1636,0,0
2426,青森県,佐井村,1788,0,0
2441,青森県,三戸町,9082,0,0
2442,青森県,五戸町,16042,0,0
2443,青森県,田子町,4968,0,0
